english,polish,alternatives
eta,szacowany czas przybycia,ˌ$⋅⋅$ˈ$⋅$
etc,"et cetera
  itd.",etc.|itp.
etch,"1.  grawerować
 2.  wytrawiać  [jak w akwaforcie]",eʧ
eternal,"1.  wieczny
 2.  odwieczny",ɪˈtɜ:nəl
eternity,"1.  wieczność
 2.  [nieform]  wiek",wieki|ɪˈtɜ:nɪtɪ
ether,eter,ˈɪθə
ethic,"1.  etos
 2. ethics  etyka",ˈeθɪk
ethical,etyczny,ˈeθɪkəl
ethiopia,etiopia,ˌi:θɪˈəʊpɪə
ethiopian,"i.    etiopski
ii.    etiop",ˌi:θɪˈəʊpɪən
ethnic,etniczny,ˈeθnɪk
etiquette,etykieta,ˈetɪket
eucharist,eucharystia,ˈju:kərɪst
eucharistic,eucharystyczny,ˌju:kəˈrɪstɪk
eulogy,panegiryk,utwór pochwalny|ˈju:ləʤɪ
eunuch,ˈju:nək,
euphemism,eufemizm,ˈju:fəmɪzəm
euphoria,euforia,ju:ˈfɔ:rɪə
euphoric,euforyczny,ju:ˈfɔ:rɪk
europe,europa,ˈjʊərəp
european,"i.    europejski
ii.    europejczyk",ˌjʊərəˈpɪən
euthanasia,eutanazja,ˌju:θəˈneɪzɪə
evacuate,ewakuować,ɪˈvækjʊeɪt
evade,1.  unikać,"uchylać się 
 2.  odchylać się|umykać|ɪˈveɪd"
evaluate,oceniać,ɪˈvæljʊeɪt
evaluation,ocena,oszacowanie|ɪˌvæljʊˈeɪʃən
evangelical,"1.  ewangeliczny
 2.  ewangelicki",protestancki|ˌi:vænˈʤelɪkəl
evangelist,ewangelista,ɪˈvænʤelɪst
evaporate,"1.  parować
 2.  wyparowywać
 3.  [ciecz]  odparowywać",ɪˈvæpəreɪt
evasion,"1.  uchylanie się 
 2.  wykręt",wykręcanie się|ɪˈveɪʒən
evasive,1.  wykrętny,"wymijający
 2.  take evasive action 
 - wykonywać manewr wymijający|ɪˈveɪsɪv"
eve,"1.  przeddzień
 2.  wigilia",i:v
even,"choćby
 8.  even so 
 - a jednak","i.   1.  nawet
 2.  [np. lepszy]  jeszcze
ii.   1.  [tempo|pięćdziesięcioprocentowy
 6.  [liczba]  parzysty
 7.  even if|pojedynek]  wyrównany
 5.  [wynik]  równie prawdopodobny|temperatura]  stały
 2.  [powierzchnia]  równy
 3.  [rozmieszczenie]  równomierny
 4.  [szanse"
evening,"1.  strój wieczorowy
 2.  suknia wieczorowa","i.    wieczór
ii.  evening class|szkoła wieczorowa
iii.  evening dress|zajęcia zaoczne|ˈi:vnɪŋ"
event,1.  wydarzenie,"gdy|spotkanie
 3.  [form]  in the event  )
 - w wypadku|w wypadku
 4.  at all events 
 - w każdym razie
 5.  in any event 
 - w każdym razie
 6.  [form]  in the event 
 - w końcowym rozrachunku|zdarzenie
 2.  [sport]  dyscyplina"
eventful,doniosły,pełen wydarzeń|ɪˈventfʊl
eventual,ostateczny,ɪˈvenʧʊəl
eventuality,ewentualność,możliwość|ɪˌvenʧʊˈælɪtɪ
ever,"-ż
 b.
      ""why ever""  - czemuż
 c.
      ""who ever""  - któż
 d.
      ""when ever""  - kiedyż
 5.  ever since 
 - od kiedy","1.  kiedykolwiek
 2.  wciąż
 3.  zawsze|od tego czasu
 6.  [nieform]  ever so|przeważnie
 4.  [w pytaniach]  a. -że|such 
 - niezwykle"
evergreen,roślina wiecznie zielona,ˈevəgri:n
everlasting,trwały,wieczny|ˌevəˈlɑ:stɪŋ
every,co drugi,"i.   1.  każdy
 2.  a. co
 b.
      ""every two months""  - co dwa miesiące
ii.   1.  wszelki
 2.  every second|other  
 - co drugi dzień|ˈevrɪ"
everybody,"1.  każdy
 2.  wszyscy",ˈevrɪbɒdɪ
everyday,codzienny,zwykły|ˈevrɪdeɪ
everyone,"1.  każdy
 2.  wszyscy",ˈevrɪwʌn
everyplace,wszędzie,ˈevrɪpleɪs
everything,wszystko,ˈevrɪθɪŋ
everywhere,wszędzie,ˈevrɪweə
evict,eksmitować,ɪˈvɪkt
eviction,eksmisja,ɪˈvɪkʃən
evidence,1.  dowód,"być jasno widocznym|dowody
 2.  give evidence 
 - świadczyć  
 3.  be in evidence 
 - być na widoku|ˈevɪdəns"
evident,oczywisty,widoczny|ˈevɪdənt
evil,"i.    zły  [moralnie]
ii.    zło",ˈi:vəl
evocation,ewokacja,przywołąnie|ˌi:vəˈkeɪʃən
evocative,przywołujący,ɪˈvɒkətɪv
evoke,przywoływać,ɪˈvəʊk
evolution,ewolucja,rozwój|ˌi:vəˈlu:ʃən
evolve,1.  ewoluować,"przekształcać 
 2.  rozwijać się|przekształcać się|rozwijać|ɪˈvɒlv"
ewe,ju:,owca  [samica]
exacerbate,pogarszać,ɪgˈzæsəbeɪt
exact,"i.    dokładny
ii.    [form]  wymagać",ɪgˈzækt
exacting,wymagający,ɪgˈzæktɪŋ
exactly,"1.  dokładnie
 2.  zupełnie
 3.  ``exactly'' 
 -","nie całkiem|właśnie''
 4.  not exactly 
 - niezupełnie|ɪgˈzæktlɪ"
exaggerate,"1.  przesadzać
 2.  wyolbrzymiać",ɪgˈzæʤəreɪt
exalt,"1.  [form]  podnosić
 2.  [lit]  pobudzać",ɪgˈzɔ:lt
exalted,"1.  wysoki
 2.  egzaltowany",ɪgˈzɔ:ltɪd
exam,egzamin,ɪgˈzæm
examination,"1.  egzamin
 2.  analiza
 3.  badanie","oględziny
 4.  rozpatrzenie|ɪgˌzæmɪˈneɪʃən"
examine,"1.  oglądać
 2.  badać
 3.  rozpatrywać
 4.  egzaminować",ɪgˈzæmɪn
examiner,egzaminator,ɪgˈzæmɪnə
example,"1.  przykład
 2.  for example 
 - na przykład
 3.  set an example 
 - stanowić wzór
 4.  follow sb's example 
 - iść za czyimś przykładem
 5.  make an example of sb 
 - ukarać kogoś dla przykładu",ɪgˈzɑ:mpəl
exasperate,dręczyć,rozjątrzać|ɪgˈzæspəreɪt
exc,"exc.
  z wyjątkiem",
excavate,przeprowadzać wykopaliska,wykopywać|ˈekskəveɪt
excavation,wykopaliska,ˌekskəˈveɪʃən
exceed,przekraczać,ɪkˈsi:d
exceedingly,niezwykle,ɪkˈsi:dɪŋlɪ
excel,przodować,ɪkˈsel
excellence,doskonałość,przodowanie|ˈeksələns
excellency,"a. ekscelencja
 b.
      ""your excellency""  - wasza ekscelencja
 c.
      ""his excellency""  - jego ekscelencja",ˈeksələnsɪ
excellent,doskonały,znakomity|ˈeksələnt
except,"i.    z wyjątkiem
ii.   1.  wyłączyć","oprócz|zrobić wyjątek
 2.  except for 
 - wyjąwszy|ɪkˈsept"
excepted,[po rzeczowniku]  z wyjątkiem,wyjąwszy|ɪkˈseptɪd
excepting,oprócz,prócz|z wyjątkiem|ɪkˈseptɪŋ
exception,"1.  wyjątek 
 2.  take exception to 
 - mieć zastrzeżenia do
 3.  with the exception  )
 - z wyjątkiem czegoś","z wyjątkiem
 4.  without exception 
 - bez wyjątku|ɪkˈsepʃən"
exceptional,wyjątkowy,ɪkˈsepʃənəl
excerpt,fragment,wyjątek|ˈeksɜ:pt
excess,"excess
i.    nadmierny","zbyteczny
ii.   1.  nadmiar
 2. excesses  ekscesy
 3.  [form]  in excess of 
 - ponad
 4.  to excess 
 - do przesytu"
excessive,nadmierny,ɪkˈsesɪv
exchange,i.    wymieniać się,"wymieniać
ii.   1.  wymiana
 2.  a. giełda
 b.
      ""stock exchange""  - giełda towarowa
 3.  [form]  wymiana zdań
 4.  [np. telefoniczna]  centrala
 5.  in exchange for 
 - w zamian za
iii.  exchange rate   kurs wymiany
iv.  telephone exchange   centrala telefoniczna|ɪksˈʧeɪnʤ"
excise,amputować,"excise
i.    akcyza|opłata akcyzowa
ii.    wycinać"
excitable,ekscytujący się,pobudliwy|ɪkˈsaɪtəbəl
excite,"1.  ekscytować
 2.  wzniecać",podniecać|ɪkˈsaɪt
excitement,1.  podniecenie,"ekscytacja
 2.  [lit]  atrakcja|podnieta|ɪkˈsaɪtmənt"
excl,"excl.
i.  
   see also: {exclusive}
  wyłączny
ii.  
   see also: {excluding}
  wyłączając",
exclaim,wykrzykiwać,zakrzykiwać|ɪkˈskleɪm
exclamation,"i.    okrzyk
ii.  exclamation mark",wykrzyknik|ˌekskləˈmeɪʃən|ˌekskləˈmeɪʃən ˌmɑ:k
exclude,1.  pomijać,"nie włączać 
 2.  wykluczać|wykluczać|ɪkˈsklu:d"
excluding,z wyjątkiem,ɪkˈsklu:dɪŋ
exclusion,1.  wydalenie,"niedopuszczanie
 2.  pominięcie
 3.  to the exclusion of sth 
 - z wyłączeniem czegoś|ɪkˈsklu:ʒən"
exclusive,"1.  eksluzywny
 2.  wyłączny
 3.  mutually exclusive 
 - wzajemnie się wyłączający",ɪkˈsklu:sɪv
excommunicate,ekskomunikować,wyklinać|ˌekskəˈmju:nɪkeɪt
excrement,ekskrementy,stolec|ˈekskrəmənt
excrete,wydzielać,ɪkˈskri:t
excruciating,"1.  [ból]  przenikliwy
 2.  dręczący",przygniatający|ɪkˈskru:ʃɪeɪtɪŋ
excursion,"1.  wyprawa
 2.  wycieczka",wypad|ɪkˈskɜ:ʃən
excusable,do wybaczenia,wybaczalny|ɪkˈskju:zəbəl
excuse,"excuse
i.    usprawiedliwienie","wymówka
ii.   1.  usprawiedliwiać 
 2.  wybaczać 
 3.  zwalniać 
 4.  excuse me 
 - przepraszam
 5.  will you excuse me for a moment? 
 - czy mogę przeprosić na moment?"
execute,1.  poddawać egzekucji,"przeprowadzać|tracić
 2.  wykonywać|ˈeksɪkju:t"
execution,"1.  egzekucja
 2.  [form]  wykonywanie",ˌeksɪkˈju:ʃən
executioner,kat,ˌeksɪˈkju:ʃənə
executive,i.   1.  wyższy urzędnik,"menadżer
 2.  egzekutywa|organ wykonawczy
ii.    zarządzający|wykonawczy|ɪgˈzekjʊtɪv"
executor,egzekutor,ɪgˈzekjʊtə
exemplary,przykładowy,ɪgˈzemplərɪ
exempli gratia,e.g.,na przykład|np.|ˌ$⋅$ˈ$⋅$
exemplify,"1.  stanowić przykład
 2.  podawać przykład",podawać przykłady|ɪgˈzemplɪfaɪ
exempt,"i.    zwolniony 
ii.    zwalniać",ɪgˈzempt
exercise,"i.   1.  ćwiczenie
 2.  ruch fizyczny","ruch
 3.  [form]  sprawowanie|wywieranie
ii.   1.  ćwiczyć
 2.  [form]  sprawować|wywierać
iii.  exercise book|zeszyt"
exert,"1.  wywierać
 2.  exert oneself 
 - wysilać się",ɪgˈzɜ:t
exertion,wysiłek,ɪgˈzɜ:ʃən
exhale,eksˈheɪl,wydychać
exhaust,"i.    wyczerpywać
ii.   1. exhaust pipe  rura wydechowa
 2.  spaliny",ɪgˈzɔ:st
exhaustion,wyczerpanie,ɪgˈzɔ:sʧən
exhaustive,wyczerpujący,ɪgˈzɔ:stɪv
exhibit,"eksponować
ii.   1.  eksponat
 2.  dowód rzeczowy","i.   1.  [form]  wykazywać
 2.  przedstawiać|pokazywać|ɪgˈzɪbɪt"
exhibition,1.  wystawa,"ekspozycja
 2.  przedstawianie
 3.  make an exhibition of oneself 
 - robić z siebie przedstawienie|ˌegzɪˈbɪʃən"
exhibitionism,ekshibicjonizm,ˌegzɪˈbɪʃənɪzəm
exhibitionist,ekshibicjonista,ˌegzɪˈbɪʃənɪst
exhibitor,wystawca,ɪgˈzɪbɪtə
exhilarate,rozradować,rozradować się|rozweselić|rozweselić się|ɪgˈzɪləreɪt
exhort,nawoływać,ɪgˈzɔ:t
exhume,ekshumować,eksˈhju:m
exile,"i.   1.  wygnanie
 2.  wygnaniec
ii.    skazywać na wygnanie",ˈeksaɪl
exist,istnieć,ɪgˈzɪst
existence,"1.  istnienie
 2.  egzystencja",ɪgˈzɪstəns
existential,egzystencjalny,ˌegzɪˈstenʃəl
exit,i.    wyjście,"wyjazd
ii.   1.  wychodzić 
 2.  make an exit 
 - wychodzić|ˈegzɪt"
exodus,eksodus,ˈeksədəs
exonerate,oczyszczać,uwalniać|ɪgˈzɒnəreɪt
exorbitant,wygórowany,ɪgˈzɔ:bɪtənt
exorcise,egzorcyzmować,exorcize|ˈeksɔ:saɪz
exorcism,egzorcyzm,ˈeksɔ:sɪzəm
exorcize,egzorcyzmować,exorcise|ˈeksɔ:saɪz
exotic,egzotyczny,ɪgˈzɒtɪk
expanse,bezmiar,przestwór|ɪkˈspæns
expansion,1.  rozrost,"ekspansja
 2.  [komp]  rozszerzenie|ɪkˈspænʃən"
expansionism,ekspansjonizm,ɪkˈspænʃənɪzəm
expansionist,ekspansywny,ɪkˈspænʃənɪst
expansive,wylewny,ɪkˈspænsɪv
expatriate,eksˈpætrɪət,emigrant
expect,"1.  spodziewać się
 2.  oczekiwać
 3.  be expecting  )
 - spodziewać się dziecka","myślę|spodziewać się
 4.  i expect  )
 - sądzę|sądzę|że"
expectancy,nadzieja,widoki|ɪkˈspektənsɪ
expectant,"1.  wyczekujący
 2.  spodziewający się dziecka",spodziewający się|ɪkˈspektənt
expectation,"1.  oczekiwanie
 2.  wyczekiwanie",spodziewanie się|ˌekspekˈteɪʃən
expediency,co korzystne,korzyść|to|ɪkˈspedɪənsɪ
expedient,dogodny,"i.    środek
ii.    stosowny|ɪkˈspedɪənt"
expedite,przyśpieszyć,ˈekspədaɪt
expedition,"1.  ekspedycja
 2.  wyprawa",ˌekspəˈdɪʃən
expel,"1.  wydalać
 2.  usuwać 
 3.  [form]  wyrzucać",ɪkˈspel
expend,wydatkować,zużywać|ɪkˈspend
expendable,zbyteczny,ɪkˈspendəbəl
expenditure,"1.  wydatki
 2.  zużycie",ɪkˈspendɪʧə
expense,1.  nakłady,"na czyjś koszt
 4.  go to great expense 
 - ponosić wielkie koszty|wydatki
 2. expenses  dieta|zwrot kosztów
 3.  at sb's expense 
 - czyimś kosztem|ɪkˈspens"
expensive,drogi,kosztowny|ɪkˈspensɪv
experience,doświadczać,"fakt
ii.    przeżywać|i.   1.  doświadczenie
 2.  [np. zawodowa]  praktyka
 3.  [czegoś]  znajomość
 4.  przeżycie|ɪkˈspɪərɪəns"
experienced,doświadczony,ɪkˈspɪərɪənst
experiment,"doświadczenie
ii.    eksperymentować",i.    eksperyment|ɪkˈsperəmənt
experimental,"1.  eksperymentalny
 2.  doświadczalny
 3.  próbny",ɪkˌsperəˈmentəl
expert,i.    ekspert,"specjalistyczny|znawca
ii.    wyspecjalizowany|ˈekspɜ:t"
expertise,umiejętności specjalistyczne,wiedza specjalistyczne|ˌekspɜ:ˈti:z
expiate,odpokutowywać,ˈekspɪeɪt
expiration,utrata ważności,ˌekspɪˈreɪʃən
expire,"1.  [form]  tracić ważność
 2.  [lit]  wyzionąć ducha",ɪkˈspaɪə
expiry date,data ważności,ɪkˈspaɪərɪ deɪt
explain,"i.    wyjaśniać 
ii.  explain away   usprawiedliwiać",ɪkˈspleɪn
explanation,"1.  wyjaśnienie
 2.  objaśnienie",ˌekspləˈneɪʃən
explanatory,objaśniający,wyjaśniający|ɪkˈsplænətərɪ
explicable,wytłumaczalny,ɪkˈsplɪkəbəl
explicit,jednoznaczny,otwarty|szczery|ɪkˈsplɪsɪt
explode,1.  eksplodować,"wybuchać
 2.  wzrastać wybuchowo
 3.  wybuchać 
 4.  dyskredytować|ɪkˈspləʊd"
exploitation,1.  wyzysk,"wykorzystywanie
 2.  eksploatacja|ˌeksplɔɪˈteɪʃən"
exploitative,wyzyskujący,ɪkˈsplɔɪtətɪv
exploiter,wyzyskiwacz,ɪkˈsplɔɪtə
exploratory,badawczy,rozpoznawczy|ɪkˈsplɒrətərɪ
explore,"1.  badać
 2.  przeszukiwać","penetrować
 3.  analizować|przedyskutowywać|ɪkˈsplɔ:"
explorer,badacz,eksplorator|ɪkˈsplɔ:rə
explosion,1.  eksplozja,"wybuch
 2.  gwałtowny przyrost|ɪkˈspləʊʒən"
explosive,1.  środek wybuchowy,"materiał wybuchowy
 2.  wybuchowy
 3.  rozrywający się|rozrywający
 4.  oszałamiający|ɪkˈspləʊsɪv"
exponent,1.  przedstawiciel,"orędownik
 2.  [form]  wyraziciel
 3.  [termin]  wykładnik|ɪkˈspəʊnənt"
exponential,"1.  [termin]  wykładniczy
 2.  raptowny",zdwojony|ˌekspəˈnenʃəl
export,"export
i.   1.  eksportować
 2.  rozpowszechniać
ii.   1.  eksport
 2. exports  [zwykle]  artykuły eksportowe",
exporter,eksporter,ɪkˈspɔ:tə
expose,"1.  odsłaniać
 2.  wystawiać 
 3.  narażać się","ekˈspəʊzeɪ|exposé|narażać 
 4.  demaskować|zdemaskowanie"
exposition,przedstawienie,wykład|ˌekspəˈzɪʃən
exposure,1.  wystawienie się,"ekspozycja 
 2.  [w prasie|kadr|opisywanie
 3.  zdemaskowanie
 4.  [termin]  zdjęcie|tv]  pokazywanie"
exposé,ekˈspəʊzeɪ,expose|zdemaskowanie
expound,objaśniać,przedstawiać|ɪkˈspaʊnd
express,i.   1.  wyrażać się,"wyrażać
 2.  [termin]  przedstawiać 
ii.   1.  [form]  wyraźny
 2.  ekspresowy
iii.    ekspres|ɪkˈspres"
expression,"1.  wyrażenie
 2.  wyraz czegoś","przykład
 4.  ekspresja|wyraz
 3.  przejaw|ɪkˈspreʃən"
expressionless,bez wyrazu,ɪkˈspreʃənlɪs
expressive,"1.  wyrazisty
 2.  dotyczący wypowiadania się",ɪkˈspresɪv
expressway,autostrada,droga szybkiego ruchu|ɪkˈspresweɪ
expropriate,konfiskować,zabierać|ɪkˈsprəʊprɪeɪt
expulsion,wydalenie,ɪkˈspʌlʃən
exquisite,"1.  przepiękny
 2.  nadzwyczajny",ˈekskwɪzɪt
ext,"ext.
i.  
   see also: {external}
  zewnętrzny
ii.  
   see also: {externally}
  zewnątrz
iii.  
   see also: {extension}
  [o numerze telefonicznym]  wewnętrzny",
extend,1.  rozpościerać się,"oferować|pomoc]  przedstawiać|powierzchni]  ciągnąć się
 3.  [np. o skutkach|prawie]  rozciągać się"
extension,1.  dobudówka,"powiększenie
 2.  przedłużenie
 3.  rozszerzenie
 4.  [telefon]  numer wewnętrzny|ɪkˈstenʃən"
extensive,"1.  rozległy
 2.  ogromny
 3.  obszerny",szczegółowy|ɪkˈstensɪv
extent,"1.  rozmiar
 2.  to a large extent 
 - pod wieloma względami
 3.  to *some","a certain* extent 
 - w pewnym stopniu
 4.  to what extent 
 - w jakiej mierze
 5.  to that extent 
 - w tej mierze
 6.  to the extent that 
 - w tym stopniu|w jakim|ɪkˈstent"
extenuate,łagodzić,ɪkˈstenjʊeɪt
exterior,"i.   1.  zewnętrzna powierzchnia
 2.  powierzchowność","wygląd zewnętrzny
ii.    zewnętrzny|ɪkˈstɪərɪə"
exterminate,eksterminować,wybijać|ɪkˈstɜ:mɪneɪt
extermination,eksterminacja,ɪkˌstɜ:mɪˈneɪʃən
external,"i.    zewnętrzny
ii.   externals  [form]  aspekty zewnętrzne",ɪkˈstɜ:nəl
extinct,"1.  wymarły
 2.  nieczynny",wygasły|ɪkˈstɪŋkt
extinction,"1.  wymarcie
 2.  wygaśnięcie",ɪkˈstɪŋkʃən
extinguish,"1.  gasić
 2.  zacierać",niweczyć|ɪkˈstɪŋgwɪʃ
extinguisher,gaśnica,ɪkˈstɪŋgwɪʃə
extol,wychwalać,wysławiać|ɪkˈstəʊl
extort,wymuszać,zdzierać|ɪkˈstɔ:t
extortionate,nadmierny,ɪksˈtɔ:ʃənət
extra,"dodatkowo
 2.  niezwykle
ii.   1.  dodatek
 2.  opłata dodatkowa
 3.  statysta",i.   1.  dodatkowy|ˈekstrə
extract,ekstrakt,"extract
i.   1.  wydobywać
 2.  wyciągać
ii.   1.  wycinek|wyimek
 2.  wyciąg"
extraction,"1.  [form]  pochodzenie
 2.  wydobywanie",ɪkˈstrækʃən
extractor,wentylator,wentylator okienny|ɪkˈstræktə
extracurricular,extra-curricular,nadobowiązkowy|ˌekstrə kəˈrɪkjʊlə
extradite,poddawać ekstradycji,ˈekstrədaɪt
extradition,ekstradycja,ˌekstrəˈdɪʃən
extramarital,pozamałżeński,ˌekstrəˈmærɪtəl
extramural,extra-mural,zaoczny|ˌekstrəˈmjʊərəl
extraneous,poboczny,ɪkˈstreɪnɪəs
extraordinary,"1.  nadzwyczajny
 2.  niezwykły",ɪkˈstrɔ:dənərɪ
extravagance,"1.  rozrzutność
 2.  luksus",ɪkˈstrævəgəns
extravagant,"1.  rozrzutny
 2.  luksusowy","kosztowny
 3.  [form]  zmanierowany|przesadny
 4.  [form]  niepraktyczny
 5.  ekstrawagancki|ɪkˈstrævəgənt"
extravaganza,ekstrawagancja,ɪkˌstrævəˈgænzə
extremist,ekstremista,ɪkˈstri:mɪst
extremity,"1.  [form]  kraniec
 2.  [ciała]  kończyna","członek
 3.  [form]  krańcowy stan|ostateczność
 4.  [form]  krańcowość|ɪkˈstremɪtɪ"
extricate,uwalniać,wydobywać|ˈekstrɪkeɪt
extrovert,"i.    ekstrawertyk
ii.    ekstrawertyczny",ˈekstrəvɜ:t
extrude,wyciskać,ɪkˈstru:d
exuberant,pełen życia,ɪgˈzju:bərənt
exude,"1.  emanować
 2.  wydzielać",ɪgˈzju:d
exult,radować się,ɪgˈzʌlt
exultant,rozradowany,ɪgˈzʌltənt
eye,aɪ,"before one's very eyes 
 - na czyichś oczach
 15.  be up to one's eyes in sth 
 - siedzieć w czymś po uszy|close one's eyes to sth 
 - zamykać oczy na coś
 14.  under|i.    oko 
ii.   1.  mierzyć wzrokiem
 2.  before sb's eyes 
 - na czyichś oczach
 3.  cast|keep an eye out* 
 - mieć oczy otwarte
 8.  keep one's eyes open 
 - mieć oczy otwarte
 9.  keep an eye on sb 
 - mieć na kogoś oko
 10.  more to it than meets the eye 
 - więcej niż by się zdawało
 11.  open sb's eyes 
 - otworzyć komuś oczy
 12.  see eye to eye 
 - zgadzać się w poglądach"
eyeball,gałka oczna,ˈaɪbɔ:l
eyebrow,"1.  brew
 2.  raise an eyebrow at  
 - krzywić się na coś",krzywić się na|marszczyć brew na|marszczyć brew na coś|ˈaɪbraʊ
eyecatching,eye-catching,przykuwający wzrok|ˈaɪkæʧɪŋ
eyelash,rzęsa,ˈaɪlæʃ
eyelid,"1.  powieka
 2.  [nieform]  not to bat an eyelid 
 - nawet nie mrugnąć okiem",ˈaɪlɪd
eyeopener,eye-opener,rewelacja|ˈaɪəʊpənə
eyeshadow,cień do powiek,eye-shadow|ˈaɪʃædəʊ
eyesight,wzrok,ˈaɪsaɪt
eyesore,brzydactwo,okropieństwo|ˈaɪsɔ:
eyewitness,eye-witness,naoczny świadek|ˈaɪwɪtnɪs
f,"f.
i.
   see also: {fellow}
  członek
ii.
   see also: {fahrenheit}
  [o skali temp.]  fahrenheita",
fa,związek piłki nożnej,ˌ$⋅$ˈ$⋅$
fable,bajka,ˈfeɪbəl
fabric,1.  materiał,"płótno
 2.  [przen]  tkanka
 3.  [form]  substancja budowlana|substancja|ˈfæbrɪk"
fabricate,"1.  [form]  fabrykować
 2.  [form]  produkować",ˈfæbrɪkeɪt
fabulous,"1.  fantastyczny
 2.  [form]  baśniowy",ˈfæbjələs
facade,fasada,fəˈsɑ:d
face,"brać na siebie
iv.  face value","cyferblat
 4.  [lit]  [np. miasta]  oblicze
ii.   1.  [przeciwstawiać się]  stawiać czoła 
 2.  [np. o budynku|do czegoś)|faktami]  pogodzić się
 6.  face down|feɪs"
faceless,anonimowy,ˈfeɪslɪs
facet,"1.  aspekt
 2.  faseta  [np. brylantu]",ˈfæsət
facetious,fəˈsi:ʃəs,żartobliwy
facial,dotyczący twarzy,twarzy|ˈfeɪʃəl
facile,1.  łatwy,"lekki
 2.  płytki|powierzchowny|ˈfæsaɪl"
facilitate,fəˈsɪlɪteɪt,ułatwiać
facility,1.  [form]  zdolność,"fəˈsɪlɪtɪ|łatwość
 2.  urządzenie
 3.  ułatwienie"
facsimile,"1.  kopia
 2.  fax",fækˈsɪmɪlɪ
fact,1.  fakt,"as a matter of* fact  | :in :point :of | :as :a :matter :of] fact)
 - faktycznie|fækt|in point of|po prawdzie
 5.  the fact remains 
 - pozostaje faktem
 6.  for a fact 
 - na pewno"
faction,frakcja,ˈfækʃən
factor,czynnik,ˈfæktə
factory,fabryka,ˈfæktərɪ
factual,rzeczowy,ˈfækʧʊəl
faculty,"1.  władze umysłowe i cielesne
 2.  wydział uniwersytecki",wydział|ˈfækəltɪ
fad,fæd,przelotna moda
faeces,feces,kał|ˈfɪ:si:z
fag,"1.  harówka
 2.  [br nieform]  [papieros]  pet
 3.  [us nieform]  [homoseksualista]  pedał",fæg
faggot,[homoseksualista]  pedzio,ˈfægət
fahrenheit,skala fahrenheita,ˈfærənhaɪt
failing,a jak się nie da,"i.    wada
ii.   1.  zawodzący|słaby
 2.  failing this|that 
 - a jak się nie da to|ˈfeɪlɪŋ"
failure,"1.  niepowodzenie
 2.  [np. przedsięwzięcia]  fiasko
 3.  [obowiązku","brak
 b.
      ""failure to appear""  - brak obecności
 4.  [urządzenia|nieudacznik|obietnicy]  a. niewypełnienie|serca]  niesprawność
 5.  [banku]  krach
 6.  [np. nerwów]  załamanie się
 7.  [o człowieku]  pechowiec"
faint,feɪnt,"i.   1.  nikły|wątły
 2.  mdlejący
ii.    mdleć"
faintly,"1.  słabo
 2.  wątle",ˈfeɪntlɪ
fair,"fair
 2.  [o wielkości]  pokaźny
 3.  [ocena]  średni
 4.  [np. odgadnięcie]  prawidłowy
 5.  [skóra","feə|i.   1.  uczciwy|jarmarczny
ii.   1.  [br]  wesołe miasteczko
 2.  [br]  targ
 3.  to be fair 
 - prawdę mówiąc
 4.  fair enough 
 - dość dobrze
iii.  fair play|sprawiedliwość"
fairly,"1.  dość
 2.  uczciwie",fair|naprawdę|ˈfeəlɪ
fairness,"1.  sprawiedliwość
 2.  *in all fairness","in fairness * ])
 - prawdę mówiąc|ˈfeənɪs"
fairy,"i.    wróżka
ii.  fairy tale   baśń",ˈfeərɪ
faith,"1.  wiara
 2.  religia
 3.  break faith with sb 
 - łamać przyrzeczenie
 4.  break","dotrzymywać a
 5.  in good faith 
 - w dobrej wierze|feɪθ|keep faith with sb 
 - dotrzymywać przyrzeczenie"
faithful,"1.  wierny
 2.  the faithful 
 - wierni",zwolennicy|ˈfeɪθfʊl
faithfully,"yours faithfully 
 - z wyrazami szacunku",ˈfeɪθfʊlɪ
fake,feɪk,"i.   1.  fałszerstwo|imitacja
 2.  oszust
 3.  symulant
ii.    fałszowany
iii.   1.  fałszować|naśladować
 2.  udawać"
falcon,sokół,ˈfɔ:kən
fall,"cofać się
viii.  fall behind   zostawać w tyle
ix.  fall for  1.  tracić głowę dla","cofać się do|dawać się nabierać
x.  fall in   zapadać się
xi.  fall in with   zgadzać się z|dostosowywać się
xii.  fall off   spadać
xiii.  fall on   spadać na|dostosowywać się do"
fallacious,błędny,fəˈleɪʃəs|zwodniczy
fallacy,błąd,błąd logiczny|fałsz|fałsz rozumowania|ˈfæləsɪ
fallible,"1.  omylny
 2.  niedoskonały",ˈfɔ:ləbəl
fallout,opad promieniotwórczy,ˈfɔ:laʊt
fallow,leżący odłogiem,ˈfæləʊ
